userWallet,total_deposit_usd,deposit_count,avg_borrow_rate,total_redeemunderlying_usd,redeemunderlying_count,total_borrow_usd,total_repay_usd,borrow_count,repay_count,total_liquidationcall_usd,liquidationcall_count,liquidation_count
0x00000000001accfa9cef68cf5371a23025b6d4b6,1987.6636548592714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000000000051d07a4fb3bd10121a343d85818da6,285694480361492.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000000000096026fb41fc39f9875d164bd82e2dc,5152310624.158186,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000000000e189dd664b9ab08a33c4839953852c,0.0,0.0,0.0,980360031666459.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,2.0657733084285235e+17,250.0,1.1050528894218897e+26,1.1287452027976189e+17,130.0,6.029762086214079e+16,70150.26379074076,15.0,4.0,0.0,0.0,0.0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,1.8390665686010516e+16,7.0,3.624248747309548e+25,4617415427863043.0,5.0,11631.431210321323,11640.280239622172,8.0,5.0,0.0,0.0,0.0
0x000000003853fcedcd0355fec98ca3192833f00b,76376315604.972,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,4.585861982762903e+17,309.0,7.715367909999582e+25,2.9953890762767597e+17,137.0,1.324157609026383e+17,339812873060944.7,30.0,16.0,0.0,0.0,0.0
0x000000007858e6f2668e1e06111cfa24403a5466,142160666481.45407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1.7666525037857388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,7.999916941682949e+17,26.0,4.0617922138429796e+25,8.010729370227364e+17,10.0,5.975019617796155e+17,5.97568679828446e+17,24.0,9.0,0.0,0.0,0.0
0x00000029ff545c86524ade7caf132527707948c4,3.254660503465467e+18,12.0,2.5927980590879165e+25,3.233387269617574e+18,11.0,1.759512594809414e+18,1.7435939341859732e+18,12.0,12.0,0.0,0.0,0.0
0x00000087c4cebffb95746d1935de7fbcab092f40,2.216919941662641e+16,86.0,3.0982965088216795e+25,3853680780685.42,57.0,2.316420103419422e+16,1199151322612232.8,62.0,45.0,0.0,0.0,0.0
0x000000e28faa823d5b53ff6c2922c28335840375,3.134059613762207e+18,107.0,5.066097594198048e+25,2.5958977317432873e+18,61.0,2.559678839221803e+18,1.8523440568145644e+18,66.0,63.0,0.0,0.0,0.0
0x000006eee6e39015cb523aebdd4d0b1855aba682,4.2849152929215784e+16,11.0,3.7087439938151025e+25,5.013114348760813e+16,9.0,2.300705925998673e+16,2.3151274780815504e+16,4.0,1.0,0.0,3.0,3.0
0x00000a9c78912badb92d73b6ed26456e11def5eb,1.6927543127773312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00001bc47f0973f794f79c16121cee879e272d6a,0.0,0.0,0.0,53501.44012314356,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00002b503a75998c97508916a74fdb41934fa030,2.2937294172388547e+18,27.0,5.731687150784675e+25,1.57752258025783e+18,28.0,6.178981819947749e+17,4.2714778564618426e+17,47.0,45.0,0.0,0.0,0.0
0x0000897253cc85f7547317eb2080b36b3255687a,466185762066389.7,1.0,0.0,465532400028765.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1.116218296466259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000ce08fa224696a819877070bf378e8b131acf,1967476047132.329,3.0,6.778314544698273e+25,1492514578981658.2,10.0,1257932658028036.0,0.0,1.0,0.0,0.0,0.0,0.0
0x00010a708585ba4812a1c5976182626c75cb7a6b,1143529118181716.0,9.0,3.8477059524514917e+25,21597027806407.523,7.0,302687401622063.75,302362674359930.2,6.0,7.0,0.0,0.0,0.0
0x00016fc0c9f7620e920e1423fd455f9574f48025,3145759276004.6475,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0002761e848b24046a53d494847b11a3e1d36b09,1002262174437.4797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
